name,price,type,efficiency,wattage,modular,color
Asus ROG Strix,134.99,ATX,gold,750,Full,Black / Red
Corsair HX1200i,319.99,ATX,platinum,1200,Full,Black
Asus ROG Strix Aura Edition,204.99,ATX,gold,1000,Full,Black
be quiet! System Power 10,302.47,ATX,gold,850,false,Black
Asus ROG-STRIX-850G,155.94,ATX,gold,850,Full,Black
Montech TITAN GOLD 1200W,140.24,ATX,gold,1200,Full,Black
Super Flower Leadex Platinum SE,139.99,ATX,platinum,1000,Full,Black
Super Flower Leadex Platinum SE,159.99,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 650 P5,94.99,ATX,platinum,650,Full,Black / Teal
MSI MPG A1000G,299.39,ATX,gold,1000,Full,Black
EVGA SuperNOVA 1000 G+,341.99,ATX,gold,1000,Full,Black
MSI MPG A850GF,192.9,ATX,gold,850,Full,Black
Super Flower Leadex III Gold,99.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 850 G5,144.87,ATX,gold,850,Full,Black / Green
Thermaltake Toughpower GF A3 - TT Premium Edition,181.05,ATX,gold,1200,Full,Black
Super Flower Leadex Titanium,189.99,ATX,titanium,1000,Full,Black
Thermaltake Smart BM3,79.98,ATX,bronze,650,Semi,Black
Corsair RM650 (2019),219.99,ATX,gold,650,Full,Black
Asus Prime AP-850G,129.99,ATX,gold,850,Full,White / Black
Corsair RM850,179.96,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 P3,189.99,ATX,platinum,1000,Full,Black / Silver
SeaSonic FOCUS,101.99,ATX,gold,850,Semi,Black
Azza PSAZ-650W,60.65,ATX,bronze,650,false,Black
Corsair RM850x SHIFT,169.99,ATX,gold,850,Full / Side,White
Thermaltake Toughpower GF1 (2024),94.17,ATX,gold,750,Full,Black
Apevia Galaxy,79.98,ATX,gold,1000,Semi,Black
EVGA SuperNOVA 1200 P3,209.99,ATX,platinum,1200,Full,Black / Silver
Asus ROG Strix Aura Edition,234.99,ATX,gold,1200,Full,Black
MSI MAG A1000GL PCIE5,179.0,ATX,gold,1000,Full,Black
EVGA SuperNOVA 650 GA,120.69,ATX,gold,650,Full,Black
Asus ROG THOR 850P,349.99,ATX,platinum,850,Full,Black / Red
GameMax GX Pro Rampage,109.99,ATX,gold,850,Full,White
Corsair RM850x White,279.0,ATX,gold,850,Full,White / Black
Corsair RM750,171.99,ATX,gold,750,Full,Black
Deepcool DQ750-M-V2L,99.99,ATX,gold,750,Full,Black / Green
Deepcool PX850G WH,155.73,ATX,gold,850,Full,White
GameMax RGB Rainbow,109.99,ATX,gold,850,Full,Black
ADATA XPG Core Reactor II,129.99,ATX,gold,1000,Full,Black
SeaSonic VERTEX PX-1000,253.2,ATX,platinum,1000,Full,Black / Silver
PowerSpec PS 650GSM,76.98,ATX,gold,650,Semi,Black
Silverstone HELA 1200R,235.1,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 1000 G5,171.46,ATX,gold,1000,Full,Black / Green
be quiet! Straight Power 12,139.9,ATX,platinum,750,Full,Black
Aerocool LUX RGB 750M (230V EU),100.42,ATX,bronze,750,Semi,Black
Fractal Design Ion Gold,128.29,ATX,gold,550,Full,Black
Deepcool PX1200G,149.99,ATX,gold,1200,Full,Black
EVGA SuperNOVA 650 G5,104.99,ATX,gold,650,Full,Black / Green
Asus TUF Gaming B,45.99,ATX,bronze,550,false,Black
Asus ROG THOR P2 Gaming EVA Edition,511.83,ATX,platinum,1000,Full,Black / Silver
GameMax RGB Rainbow,99.99,ATX,gold,750,Full,Black
Thermaltake Toughpower GF3 TT Premium,156.49,ATX,gold,1200,Full,Black
Corsair CX650F,199.99,ATX,bronze,650,Full,Black
Corsair RM750x White (2018),220.0,ATX,gold,750,Full,White / Black
GAMDIAS KRATOS M1 B,69.98,ATX,bronze,750,false,Black
Montech TITAN GOLD 1000W,140.24,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF1 PE,144.98,ATX,gold,850,Full,Black
Super Flower LEADEX VII XG,179.99,ATX,gold,1000,Full,Black
Silverstone DA750 Gold,134.43,ATX,gold,750,Full,Black / White
"FSP Group Hydro Ti PRO,Gen 5",259.99,ATX,titanium,1000,Full,Black
Super Flower Leadex Titanium,199.99,ATX,titanium,850,Full,Black
