name,price,speed,first_word_latency,cas_latency,num_sticks,ram_size_per_stick,DDR,total_ram,speed_to_price,total_ram_to_price
OLOy MD4U0836180BHKDA 16 GB,34.97,3600,10.0,18.0,2.0,8.0,4,16.0,102.94538175579068,0.45753503002573637
Corsair Dominator Titanium 48 GB,249.99,7200,10.0,36.0,2.0,24.0,5,48.0,28.801152046081842,0.19200768030721227
Crucial CT16G4DFRA32A 16 GB,33.99,3200,13.75,22.0,1.0,16.0,4,16.0,94.14533686378346,0.4707266843189173
Corsair Dominator Titanium 64 GB,359.99,6400,10.0,32.0,4.0,16.0,5,64.0,17.778271618656074,0.17778271618656075
TEAMGROUP Elite 16 GB,29.99,3200,13.75,22.0,1.0,16.0,4,16.0,106.70223407802601,0.5335111703901301
Crucial CT2K16G48C40U5 32 GB,87.66,4800,16.667,40.0,2.0,16.0,5,32.0,54.757015742642025,0.3650467716176135
Corsair Dominator Titanium 64 GB,289.99,6000,10.0,30.0,2.0,32.0,5,64.0,20.69036863340115,0.2206972654229456
TEAMGROUP T-Create Expert 32 GB,94.99,6000,12.667,38.0,2.0,16.0,5,32.0,63.16454363617223,0.33687756605958524
Corsair Vengeance RGB 32 GB,127.99,6000,12.0,36.0,2.0,16.0,5,32.0,46.87866239549965,0.25001953277599814
OLOy OWL RGB 16 GB,42.99,3200,10.0,16.0,2.0,8.0,4,16.0,74.43591532914631,0.37217957664573154
G.Skill Trident Z5 RGB 64 GB,214.99,6000,10.0,30.0,2.0,32.0,5,64.0,27.90827480347923,0.2976882645704451
Kingston FURY Beast 16 GB,44.85,3200,10.0,16.0,1.0,16.0,4,16.0,71.3489409141583,0.3567447045707915
Corsair Vengeance LPX 16 GB,41.99,2400,13.333,16.0,2.0,8.0,4,16.0,57.15646582519647,0.3810431055013098
Corsair Vengeance RGB Pro 16 GB,63.99,3600,10.0,18.0,2.0,8.0,4,16.0,56.258790436005626,0.25003906860446945
Patriot Signature Premium 16 GB,24.99,2666,14.254,19.0,1.0,16.0,4,16.0,106.6826730692277,0.6402561024409764
Kingston FURY 32 GB,146.3,6000,13.333,40.0,2.0,16.0,5,32.0,41.011619958988376,0.21872863978127136
TEAMGROUP T-Force Vulcan Z 64 GB,114.99,3200,10.0,16.0,2.0,32.0,4,64.0,27.82850682668058,0.5565701365336116
Mushkin Redline ST 64 GB,209.99,6400,9.375,30.0,2.0,32.0,5,64.0,30.477641792466308,0.3047764179246631
Corsair Vengeance RGB 32 GB,129.99,6400,11.25,36.0,2.0,16.0,5,32.0,49.234556504346486,0.24617278252173241
G.Skill Trident Z RGB 32 GB,109.99,3200,10.0,16.0,4.0,8.0,4,32.0,29.093553959450862,0.29093553959450863
Corsair Vengeance RGB RS 16 GB,59.99,3200,10.0,16.0,2.0,8.0,4,16.0,53.34222370395066,0.26671111851975327
Kingston FURY Beast 16 GB,58.99,5200,15.385,40.0,1.0,16.0,5,16.0,88.15053398881166,0.27123241227326667
TEAMGROUP T-Force Vulcan 32 GB,96.99,5600,11.429,32.0,2.0,16.0,5,32.0,57.737911124858236,0.32993092071347563
TEAMGROUP T-Force Delta RGB 32 GB,67.98,3200,10.0,16.0,2.0,16.0,4,32.0,47.07266843189173,0.4707266843189173
Lexar Ares RGB 32 GB,165.99,6400,10.0,32.0,2.0,16.0,5,32.0,38.55653955057534,0.19278269775287668
OLOy MD4U1636181CHKDA 32 GB,71.99,3600,10.0,18.0,2.0,16.0,4,32.0,50.0069454090846,0.4445061814140853
Corsair Vengeance 64 GB,229.99,6000,10.0,30.0,2.0,32.0,5,64.0,26.088090786555938,0.27827296838993
TEAMGROUP Elite 64 GB,108.99,3200,13.75,22.0,2.0,32.0,4,64.0,29.360491788237454,0.587209835764749
G.Skill Trident Z5 RGB 32 GB,116.99,5600,10.0,28.0,2.0,16.0,5,32.0,47.867339088811015,0.27352765193606293
G.Skill Trident Z5 RGB 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0,53.10204442871051,0.2832109036197894
G.Skill Ripjaws S5 32 GB,107.99,6000,10.667,32.0,2.0,16.0,5,32.0,55.56070006482082,0.29632373367904435
G.Skill Ripjaws S5 32 GB,104.99,6000,10.0,30.0,2.0,16.0,5,32.0,57.14829983807982,0.304790932469759
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,3200,10.0,16.0,2.0,8.0,4,16.0,91.45470134324093,0.4572735067162046
Corsair Vengeance RGB RT 32 GB,139.99,4600,7.826,18.0,2.0,16.0,4,32.0,32.85948996356883,0.22858775626830485
TEAMGROUP T-Create Expert 64 GB,194.99,6400,10.625,34.0,2.0,32.0,5,64.0,32.8221960100518,0.32822196010051796
Corsair Vengeance RGB 64 GB,242.99,6600,9.697,32.0,2.0,32.0,5,64.0,27.161611588954276,0.2633853244989506
Corsair Vengeance LPX 16 GB,44.99,3200,10.0,16.0,2.0,8.0,4,16.0,71.12691709268726,0.3556345854634363
Corsair Vengeance RGB RS 32 GB,89.99,3200,10.0,16.0,2.0,16.0,4,32.0,35.55950661184576,0.35559506611845765
G.Skill Trident Z RGB 32 GB,84.99,4000,9.0,18.0,2.0,16.0,4,32.0,47.06436051300153,0.37651488410401224
Corsair Vengeance LPX 32 GB,69.98,2133,12.189,13.0,2.0,16.0,4,32.0,30.48013718205201,0.4572735067162046
Patriot Signature Line 8 GB,28.98,4800,16.667,40.0,1.0,8.0,5,8.0,165.63146997929607,0.27605244996549344
Lexar THOR 16 GB,48.66,3200,10.0,16.0,2.0,8.0,4,16.0,65.76243321002877,0.3288121660501439
ADATA XPG Lancer Blade RGB 32 GB,119.99,6000,10.0,30.0,2.0,16.0,5,32.0,50.00416701391783,0.2666888907408951
Corsair Vengeance 64 GB,242.99,6600,9.697,32.0,2.0,32.0,5,64.0,27.161611588954276,0.2633853244989506
Corsair Vengeance 32 GB,94.99,5200,15.385,40.0,1.0,32.0,5,32.0,54.7426044846826,0.33687756605958524
Corsair Dominator Titanium 32 GB,175.99,6600,9.697,32.0,2.0,16.0,5,32.0,37.502130802886526,0.18182851298369224
Corsair Dominator Platinum RGB 32 GB,164.99,6000,10.0,30.0,2.0,16.0,5,32.0,36.36584035396084,0.19395114855445783
Corsair Vengeance RGB Pro 32 GB,124.99,3200,10.0,16.0,4.0,8.0,4,32.0,25.60204816385311,0.2560204816385311
TEAMGROUP T-Create Expert 64 GB,184.99,6000,11.333,34.0,2.0,32.0,5,64.0,32.434185631655765,0.3459646467376615
Corsair Vengeance RGB RT 32 GB,104.99,3600,8.889,16.0,2.0,16.0,4,32.0,34.28897990284789,0.304790932469759
Kingston FURY Beast RGB 16 GB,87.99,5600,14.286,40.0,2.0,8.0,5,16.0,63.643595863166276,0.18183884532333222
Timetec PINNACLE Konduit 32 GB,62.99,3600,10.0,18.0,2.0,16.0,4,32.0,57.151928877599616,0.5080171455786633
Corsair Dominator Platinum RGB 64 GB,289.99,5600,12.857,36.0,4.0,16.0,5,64.0,19.311010724507742,0.2206972654229456
TEAMGROUP T-Create Expert 16 GB,34.99,3600,10.0,18.0,2.0,8.0,4,16.0,102.88653901114604,0.4572735067162046
Corsair Vengeance 32 GB,113.99,5600,12.857,36.0,2.0,16.0,5,32.0,49.1271164137205,0.2807263795069743
Corsair Vengeance RGB 48 GB,229.99,7600,9.474,36.0,2.0,24.0,5,48.0,33.044914996304186,0.2087047262924475
Corsair Vengeance RGB Pro SL 32 GB,99.99,3600,10.0,18.0,2.0,16.0,4,32.0,36.003600360036,0.32003200320032005
Kingston FURY Beast 32 GB,115.03,5200,15.385,40.0,2.0,16.0,5,32.0,45.205598539511435,0.27818829870468575
G.Skill Ripjaws V 8 GB,69.98,2400,12.5,15.0,1.0,8.0,4,8.0,34.29551300371534,0.11431837667905115
OLOy OWL RGB 16 GB,42.99,3200,10.0,16.0,2.0,8.0,4,16.0,74.43591532914631,0.37217957664573154
Kingston FURY Beast RGB 32 GB,129.99,3200,10.0,16.0,2.0,16.0,4,32.0,24.617278252173243,0.24617278252173241
TEAMGROUP T-Create Expert 16 GB,32.99,3200,10.0,16.0,2.0,8.0,4,16.0,96.9990906335253,0.48499545316762654
Kingston FURY Beast RGB 16 GB,89.08,5600,12.857,36.0,2.0,8.0,5,16.0,62.86484059272564,0.1796138302649304
Corsair Vengeance RGB Pro 64 GB,139.99,3600,10.0,18.0,2.0,32.0,4,64.0,25.716122580184297,0.4571755125366097
Corsair Vengeance 64 GB,167.99,4800,16.667,40.0,2.0,32.0,5,64.0,28.573129352937674,0.380975058039169
G.Skill Ripjaws V 16 GB,37.99,3200,10.0,16.0,1.0,16.0,4,16.0,84.2326928138984,0.42116346406949196
Corsair Vengeance RGB 32 GB,124.99,6000,12.0,36.0,2.0,16.0,5,32.0,48.00384030722458,0.2560204816385311
Corsair Vengeance LPX 32 GB,73.98,2666,12.003,16.0,2.0,16.0,4,32.0,36.036766693701,0.4325493376588267
Crucial Classic 8 GB,26.99,5600,16.429,46.0,1.0,8.0,5,8.0,207.48425342719526,0.29640607632456467
Silicon Power GAMING 16 GB,34.97,3600,10.0,18.0,2.0,8.0,4,16.0,102.94538175579068,0.45753503002573637
TEAMGROUP T-Force Vulcan Z 32 GB,53.3,3200,10.0,16.0,2.0,16.0,4,32.0,60.0375234521576,0.600375234521576
TEAMGROUP T-Force Vulcan 32 GB,94.99,5600,12.857,36.0,2.0,16.0,5,32.0,58.953574060427414,0.33687756605958524
G.Skill Trident Z5 RGB 32 GB,132.99,7200,9.444,34.0,2.0,16.0,5,32.0,54.13940897811865,0.2406195954583051
Corsair Vengeance RGB 32 GB,149.99,6400,10.0,32.0,2.0,16.0,5,32.0,42.66951130075338,0.2133475565037669
G.Skill Trident Z5 RGB 64 GB,214.99,6000,10.0,30.0,2.0,32.0,5,64.0,27.90827480347923,0.2976882645704451
G.Skill Trident Z5 RGB 48 GB,279.99,8200,9.756,40.0,2.0,24.0,5,48.0,29.286760241437193,0.17143469409621773
Corsair Dominator Titanium 32 GB,199.99,7200,9.444,34.0,2.0,16.0,5,32.0,36.0018000900045,0.16000800040002
G.Skill Ripjaws S5 64 GB,239.99,6800,10.0,34.0,2.0,32.0,5,64.0,28.334513938080754,0.26667777824076
Corsair Vengeance RGB Pro 32 GB,82.99,3600,10.0,18.0,2.0,16.0,4,32.0,43.37872032775034,0.3855886251355585
G.Skill TridentZ RGB 32 GB,418.0,4800,8.333,20.0,2.0,16.0,4,32.0,11.483253588516746,0.07655502392344497
Kingston FURY Beast RGB 32 GB,132.15,5600,12.857,36.0,2.0,16.0,5,32.0,42.37608777903897,0.24214907302307984
Corsair Vengeance 64 GB,239.99,5600,12.857,36.0,4.0,16.0,5,64.0,23.334305596066503,0.26667777824076
Kingston FURY Beast 16 GB,71.0,4800,15.833,38.0,2.0,8.0,5,16.0,67.6056338028169,0.22535211267605634
Corsair Vengeance RGB 64 GB,184.99,5200,15.385,40.0,2.0,32.0,5,64.0,28.109627547434997,0.3459646467376615
Corsair Vengeance 32 GB,114.99,6000,12.0,36.0,2.0,16.0,5,32.0,52.17845030002609,0.2782850682668058
Corsair Vengeance LPX 32 GB,84.99,3600,10.0,18.0,2.0,16.0,4,32.0,42.35792446170138,0.37651488410401224
G.Skill Ripjaws V 64 GB,201.22,4400,8.636,19.0,2.0,32.0,4,64.0,21.866613656694167,0.31805983500646057
Corsair Dominator Platinum RGB 32 GB,119.99,3200,10.0,16.0,2.0,16.0,4,32.0,26.66888907408951,0.2666888907408951
Crucial CT2K8G4DFRA32A 16 GB,39.99,3200,13.75,22.0,2.0,8.0,4,16.0,80.02000500125031,0.4001000250062515
OLOy MD4U083216BJDA 16 GB,37.99,3200,10.0,16.0,2.0,8.0,4,16.0,84.2326928138984,0.42116346406949196
Corsair Dominator Titanium 32 GB,175.99,6600,9.697,32.0,2.0,16.0,5,32.0,37.502130802886526,0.18182851298369224
