name,price,speed,first_word_latency,cas_latency,num_sticks,ram_size_per_stick,DDR,total_ram
G.Skill Ripjaws S5 32 GB,109.99,6400,10.0,32.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 64 GB,194.99,5600,10.0,28.0,2.0,32.0,5,64.0
TEAMGROUP T-Force Delta RGB 64 GB,184.99,6000,12.667,38.0,2.0,32.0,5,64.0
G.Skill Trident Z5 RGB 48 GB,399.99,8400,9.524,40.0,2.0,24.0,5,48.0
Corsair Dominator Titanium 64 GB,359.99,6400,10.0,32.0,4.0,16.0,5,64.0
ADATA XPG Lancer Blade RGB 32 GB,148.03,6400,10.0,32.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 64 GB,227.99,6400,10.0,32.0,2.0,32.0,5,64.0
G.Skill Trident Z5 Neo RGB 32 GB,124.99,6000,10.0,30.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,3200,10.0,16.0,2.0,8.0,4,16.0
Crucial Classic 16 GB,55.99,5600,16.429,46.0,2.0,8.0,5,16.0
G.Skill Ripjaws V 32 GB,74.99,4000,9.0,18.0,2.0,16.0,4,32.0
TEAMGROUP T-Create Expert 32 GB,94.99,6000,12.667,38.0,2.0,16.0,5,32.0
Kingston HyperX Fury 8 GB,50.99,2666,12.003,16.0,1.0,8.0,4,8.0
Corsair Vengeance 32 GB,124.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 32 GB,135.99,6000,10.0,30.0,2.0,16.0,5,32.0
KingBank SharpBlade 32 GB,86.99,6000,12.0,36.0,2.0,16.0,5,32.0
Patriot Viper Venom 32 GB,97.99,6000,12.0,36.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,121.99,7200,9.444,34.0,2.0,16.0,5,32.0
Corsair Dominator Platinum RGB 64 GB,349.99,6600,9.697,32.0,4.0,16.0,5,64.0
Kingston FURY Beast 16 GB,64.39,5200,15.385,40.0,2.0,8.0,5,16.0
Corsair Vengeance LPX 64 GB,142.99,3600,10.0,18.0,2.0,32.0,4,64.0
Crucial CT8G48C40U5 8 GB,22.99,4800,16.667,40.0,1.0,8.0,5,8.0
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Aegis 32 GB,65.98,3200,10.0,16.0,2.0,16.0,4,32.0
TEAMGROUP Elite 32 GB,75.98,4800,16.667,40.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 48 GB,249.99,8000,10.0,40.0,2.0,24.0,5,48.0
TEAMGROUP T-Create Expert 64 GB,184.99,6000,11.333,34.0,2.0,32.0,5,64.0
Corsair Vengeance RGB 32 GB,124.99,6000,10.0,30.0,2.0,16.0,5,32.0
ADATA XPG Lancer Blade RGB 32 GB,109.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 16 GB,44.98,3000,10.0,15.0,2.0,8.0,4,16.0
Crucial CT8G4DFRA32A 8 GB,19.98,3200,13.75,22.0,1.0,8.0,4,8.0
Corsair Dominator Titanium 32 GB,167.99,6000,10.0,30.0,2.0,16.0,5,32.0
Kingston FURY Beast RGB 64 GB,224.99,6000,12.0,36.0,2.0,32.0,5,64.0
Corsair Vengeance 64 GB,172.99,5600,14.286,40.0,2.0,32.0,5,64.0
G.Skill Ripjaws V 16 GB,39.99,3600,10.0,18.0,2.0,8.0,4,16.0
Corsair Vengeance RGB Pro 64 GB,189.99,3600,10.0,18.0,4.0,16.0,4,64.0
Corsair Vengeance 32 GB,159.99,7200,9.444,34.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Vulcan 32 GB,87.99,5200,15.385,40.0,2.0,16.0,5,32.0
Klevv BOLT V 32 GB,98.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Vengeance 32 GB,99.99,5600,14.286,40.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,102.99,6400,10.0,32.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 16 GB,46.99,3200,10.0,16.0,2.0,8.0,4,16.0
G.Skill Trident Z RGB 16 GB,54.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Dominator Platinum RGB 64 GB,299.99,6800,11.765,40.0,2.0,32.0,5,64.0
G.Skill Ripjaws S5 64 GB,204.99,6400,10.0,32.0,2.0,32.0,5,64.0
Corsair Vengeance RGB Pro 32 GB,117.99,3200,10.0,16.0,4.0,8.0,4,32.0
