name,storage_price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_2
Transcend 220S,219.9,2000.0,0.11,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
VisionTek PRO,249.99,2000.0,0.125,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Klevv NEO N610,39.02,256.0,0.152,SSD,,2.5,SATA 6.0 Gb/s,256.0 GB
Timetec 30TT253X2,65.55,1000.0,0.066,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
V7 V7SSD1TBM2SU,87.99,1000.0,0.088,SSD,,M.2-2280,M.2 SATA,1.0 TB
V7 V7SSD1TBNV3U,90.99,1000.0,0.091,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Intel D3-S4520,141.0,240.0,0.588,SSD,,M.2-2280,M.2 SATA,240.0 GB
Inland TN436,87.99,1000.0,0.088,SSD,,M.2-2230,M.2 PCIe 4.0 X4,1.0 TB
NEMIX RAM NEMESIS,318.99,4000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Transcend MTE245S,369.99,4000.0,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Transcend 830S,61.99,512.0,0.121,SSD,,M.2-2280,M.2 SATA,512.0 GB
OWC Mercury Electra 6G,118.99,1000.0,0.119,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
OWC Mercury Electra 6G,199.99,2000.0,0.1,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
AGI AI818,266.07,2000.0,0.133,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
AGI AI198,218.49,1000.0,0.218,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Inland TN446,54.99,512.0,0.107,SSD,,M.2-2230,M.2 PCIe 4.0 X4,512.0 GB
Patriot VP4000 Mini,79.98,1000.0,0.08,SSD,,M.2-2230,M.2 PCIe 4.0 X4,1.0 TB
Seagate FireCuda 520N,118.0,1000.0,0.118,SSD,,M.2-2230,M.2 PCIe 4.0 X4,1.0 TB
Patriot VP4000 Mini,174.99,2000.0,0.087,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2.0 TB
KingSpec NX-2230,44.99,512.0,0.088,SSD,,M.2-2230,M.2 PCIe 3.0 X4,512.0 GB
Lexar PLAY,89.99,1000.0,0.09,SSD,,M.2-2230,M.2 PCIe 4.0 X4,1.0 TB
Intel 535,159.0,120.0,1.325,SSD,,M.2-2280,M.2 SATA,120.0 GB
Lenovo 5300,587.6,960.0,0.612,SSD,,2.5,SATA 6.0 Gb/s,960.0 GB
VisionTek PRO,49.99,250.0,0.2,SSD,,2.5,SATA 6.0 Gb/s,250.0 GB
VisionTek PRO HXS,255.08,2000.0,0.128,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Silicon Power XD80,284.41,1000.0,0.284,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
VisionTek PRO,136.99,1000.0,0.137,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Intel D3-S4520,136.4,480.0,0.284,SSD,,M.2-2280,M.2 SATA,480.0 GB
Fantom Drives VENOM8 PS5,109.45,1000.0,0.109,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
VisionTek DLX4 Pro,201.45,2000.0,0.101,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Titanium Micro PD560,129.99,2000.0,0.065,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
SanDisk Extreme,299.99,480.0,0.625,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Kingston SSDNow V+200,159.99,120.0,1.333,SSD,,2.5,SATA 6.0 Gb/s,120.0 GB
Kingston KC300,199.99,240.0,0.833,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Kingston KC300,309.99,480.0,0.646,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Transcend MTS800,139.94,256.0,0.547,SSD,,M.2-2280,M.2 SATA,256.0 GB
VisionTek Go Drive,332.29,1000.0,0.332,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
VisionTek Go Drive,351.75,480.0,0.733,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Intel 535,306.1,240.0,1.275,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Mushkin Atlas Vital,104.83,250.0,0.419,SSD,,M.2-2280,M.2 SATA,250.0 GB
ADATA XPG SX930,229.27,120.0,1.911,SSD,,2.5,SATA 6.0 Gb/s,120.0 GB
Transcend TS512GSSD370S,219.99,512.0,0.43,SSD,,2.5,SATA 6.0 Gb/s,512.0 GB
Intel Pro 5400s,170.05,120.0,1.417,SSD,,2.5,SATA 6.0 Gb/s,120.0 GB
VisionTek PRO,131.54,500.0,0.263,SSD,,M.2-2280,M.2 SATA,500.0 GB
VisionTek PRO,228.49,1000.0,0.228,SSD,,M.2-2280,M.2 SATA,1.0 TB
Kingston DC450R,136.44,480.0,0.284,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
VisionTek PRO XMN,93.99,500.0,0.188,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
VisionTek PRO XPN,126.82,2000.0,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
VisionTek PRO XPN,205.15,1000.0,0.205,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
VisionTek PRO XPN,108.99,512.0,0.213,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
VisionTek PRO HXS,89.99,500.0,0.18,SSD,,2.5,SATA 6.0 Gb/s,500.0 GB
VisionTek PRO XMN,52.67,250.0,0.211,SSD,,2.5,SATA 6.0 Gb/s,250.0 GB
VisionTek PRO ECS,347.34,2000.0,0.174,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Centon MP Essential,96.87,480.0,0.202,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Angelbird AV PRO MK3,399.0,1000.0,0.399,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Angelbird AV PRO XT,429.99,500.0,0.86,SSD,,2.5,SATA 6.0 Gb/s,500.0 GB
VisionTek PRO,49.99,250.0,0.2,SSD,,2.5,SATA 6.0 Gb/s,250.0 GB
V7 V7SSD240GBS25U,33.04,240.0,0.138,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
V7 V7SSD480GBS25U,68.64,480.0,0.143,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
V7 V7SSD512GBS25U,51.97,512.0,0.102,SSD,,2.5,SATA 6.0 Gb/s,512.0 GB
V7 V7SSD1TBS25U,89.99,1000.0,0.09,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Intel D3-S4520,92.69,240.0,0.386,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Intel D3-S4620,160.15,480.0,0.334,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
VisionTek DLX4,96.99,1000.0,0.097,SSD,,M.2-2230,M.2 PCIe 4.0 X4,1.0 TB
Transcend 830S,109.99,1000.0,0.11,SSD,,M.2-2280,M.2 SATA,1.0 TB
VisionTek 900981,149.16,1000.0,0.149,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
VisionTek 900982,288.64,2000.0,0.144,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Lenovo S4520,299.0,480.0,0.623,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
