name,price,socket,form_factor,max_memory,memory_slots,color
MSI MAG Z390 TOMAHAWK,287.32,LGA1151,ATX,128,4,Black / Silver
Asus ProArt B660-CREATOR D4,169.99,LGA1700,ATX,128,4,Black
Asus Prime Z370-P,241.3,LGA1151,ATX,64,4,Black / Silver
NZXT N5 Z690,234.49,LGA1700,ATX,128,4,Black / White
ASRock Z790 Pro RS/D4,194.14,LGA1700,ATX,128,4,Silver / Black
Gigabyte B550 GAMING X,159.99,AM4,ATX,128,4,Black / Silver
Asus MAXIMUS Z690 HERO EVA,515.15,LGA1700,ATX,128,4,Purple / Green
Gigabyte Z690 AORUS ULTRA,249.99,LGA1700,ATX,192,4,Black
ASRock Z390 Phantom Gaming 4,199.99,LGA1151,ATX,128,4,Black / Silver
Asus TUF GAMING Z690-PLUS D4,272.41,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z590 UD AC,307.39,LGA1200,ATX,128,4,Black
Gigabyte B550 AORUS ELITE,234.99,AM4,ATX,128,4,Black / Silver
Gigabyte Z390 AORUS ULTRA,329.99,LGA1151,ATX,128,4,Black / Silver
MSI MEG Z590 UNIFY-X,310.11,LGA1200,ATX,128,4,Black
Asus TUF GAMING Z790-PLUS D4,309.26,LGA1700,ATX,128,4,Black
Gigabyte Z390 AORUS ELITE,279.99,LGA1151,ATX,128,4,Black / Silver
Asus ROG MAXIMUS XIII HERO,598.0,LGA1200,ATX,128,4,Black
MSI Z270 GAMING PRO CARBON,406.49,LGA1151,ATX,64,4,Black / Silver
Asus ROG Crosshair VIII Formula,536.26,AM4,ATX,128,4,Black
Gigabyte Z390 AORUS MASTER,379.38,LGA1151,ATX,128,4,Black / Silver
MSI MPG Z490 GAMING CARBON WIFI,349.0,LGA1200,ATX,128,4,Black / Silver
MSI MPG Z690 EDGE WIFI,400.55,LGA1700,ATX,192,4,
Asus ROG STRIX Z590-A GAMING WIFI,459.0,LGA1200,ATX,128,4,Silver / Black
Gigabyte Z690 AORUS ELITE AX,199.99,LGA1700,ATX,192,4,Black
Gigabyte B760 GAMING X AX DDR4,204.72,LGA1700,ATX,128,4,Black
ASRock X370 Pro4,110.73,AM4,ATX,64,4,Black / White
Gigabyte Z790 D DDR4,246.11,LGA1700,ATX,128,4,Black
Asus ROG STRIX B560-A GAMING WIFI,274.0,LGA1200,ATX,128,4,Black / Silver
Gigabyte Z590 VISION G,349.69,LGA1200,ATX,128,4,Black / White
Asus PRIME Z270-P,355.99,LGA1151,ATX,64,4,Black / Silver
Gigabyte B760 AORUS ELITE AX DDR4,246.31,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z690 AORUS PRO,429.99,LGA1700,ATX,192,4,Black
ASRock Z690 Phantom Gaming 4,209.99,LGA1700,ATX,128,4,Black / Silver
Asus ROG MAXIMUS XII HERO (WI-FI),519.99,LGA1200,ATX,128,4,Black
Gigabyte Z790 AORUS ELITE AX-W,366.07,LGA1700,ATX,192,4,Silver / Black
ASRock Z370 Extreme4,934.23,LGA1151,ATX,64,4,Black / Silver
ASRock B550 Extreme4,157.41,AM4,ATX,128,4,Blue / Black
Gigabyte Z690 AERO G DDR4,241.45,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z390 AORUS PRO,370.25,LGA1151,ATX,128,4,Black / Silver
Supermicro C9Z390-PGW,788.99,LGA1151,ATX,128,4,Black
Gigabyte Z790 AORUS ELITE DDR4,257.75,LGA1700,ATX,128,4,Black
Gigabyte Z490 AORUS ELITE AC,349.99,LGA1200,ATX,128,4,Black / Silver
Gigabyte Z490 VISION G,429.99,LGA1200,ATX,128,4,White / Black
Gigabyte B660 GAMING X AX DDR4,174.63,LGA1700,ATX,128,4,Black
Asus TUF GAMING H670-PRO WIFI D4,199.99,LGA1700,ATX,128,4,Gray / Black
ASRock B550 Taichi,301.67,AM4,ATX,128,4,Gold / Black
Asus ROG STRIX Z390-H GAMING,339.99,LGA1151,ATX,128,4,Black / Red
NZXT N5 Z690,239.99,LGA1700,ATX,128,4,Black
Gigabyte Z590 AORUS ULTRA,389.0,LGA1200,ATX,128,4,Black
Asus STRIX X370-F GAMING,408.67,AM4,ATX,64,4,Black
ASRock H670 PG Riptide,149.99,LGA1700,ATX,128,4,Black
Gigabyte Z690 UD DDR4,223.14,LGA1700,ATX,128,4,Black
Asus ROG MAXIMUS XI FORMULA,689.0,LGA1151,ATX,128,4,Black
Asus ROG MAXIMUS X FORMULA,711.0,LGA1151,ATX,128,4,Black
Gigabyte Z590 AORUS MASTER,449.99,LGA1200,ATX,128,4,Black
Gigabyte Z590 AORUS ELITE,324.03,LGA1200,ATX,128,4,Black
Asus ROG MAXIMUS XII FORMULA,654.0,LGA1200,ATX,128,4,Black
Biostar Z690 VALKYRIE,865.65,LGA1700,ATX,192,4,Black / Gray
